"id","url_id","language","status","attempts","last_error","created_at","updated_at"
"7bbbbbb1-9c11-47b6-94c1-f48c00888bf8","4356f819-e6aa-42f8-b349-bd9ceb370bee","es","done",1,NULL,"2026-03-20 22:31:59.248745+00","2026-03-20 22:31:59.248748+00"
"7b3d7d59-fa88-4735-93ab-98cc2778225b","493d91e2-866e-4566-abed-318b8ce16a41","es","done",1,NULL,"2026-03-20 22:33:18.45724+00","2026-03-20 22:33:18.457242+00"
"7482f4b0-ad8e-4acc-a254-fcc5a93d9e81","4356f819-e6aa-42f8-b349-bd9ceb370bee","en","done",1,NULL,"2026-03-20 22:36:09.358289+00","2026-03-20 22:36:09.358291+00"
"b990d765-6899-49cf-b2e1-9e8822993034","493d91e2-866e-4566-abed-318b8ce16a41","en","done",1,NULL,"2026-03-20 22:39:02.546398+00","2026-03-20 22:39:02.546401+00"
"dfcbf7e7-3467-4822-beec-e2eae828677f","4356f819-e6aa-42f8-b349-bd9ceb370bee","de","done",1,NULL,"2026-03-20 22:40:22.057611+00","2026-03-20 22:40:22.057614+00"
"744bd46a-ec33-4701-b8db-d915ba32d359","493d91e2-866e-4566-abed-318b8ce16a41","de","done",1,NULL,"2026-03-20 22:41:39.243228+00","2026-03-20 22:41:39.24323+00"
"56cc5b09-4e9c-428e-9f14-07bb92b9de5e","4356f819-e6aa-42f8-b349-bd9ceb370bee","fr","done",1,NULL,"2026-03-20 22:42:58.556074+00","2026-03-20 22:42:58.556078+00"
"45c423d0-215c-4cf9-8e04-6f37741a5ca2","493d91e2-866e-4566-abed-318b8ce16a41","fr","done",1,NULL,"2026-03-20 22:44:29.325697+00","2026-03-20 22:44:29.3257+00"
"7eea9592-a63e-4e88-b031-607d0e29ec98","4356f819-e6aa-42f8-b349-bd9ceb370bee","it","done",1,NULL,"2026-03-20 22:45:49.112029+00","2026-03-20 22:45:49.112032+00"
"518392a6-9307-4a29-9314-c23747221f53","493d91e2-866e-4566-abed-318b8ce16a41","it","done",1,NULL,"2026-03-20 22:47:08.094075+00","2026-03-20 22:47:08.094077+00"
"372bf30f-63d5-4b0e-b8ff-aee6f45a1eb0","4356f819-e6aa-42f8-b349-bd9ceb370bee","nl","done",1,NULL,"2026-03-20 22:48:26.455373+00","2026-03-20 22:48:26.455376+00"
"f0723829-71f2-4e56-8d98-c47067a83bfc","493d91e2-866e-4566-abed-318b8ce16a41","nl","done",1,NULL,"2026-03-20 22:50:11.332578+00","2026-03-20 22:50:11.33258+00"
"7bbcc156-a0cc-46a7-a6ba-117da9f57ed4","4356f819-e6aa-42f8-b349-bd9ceb370bee","pt","done",1,NULL,"2026-03-20 22:51:29.258781+00","2026-03-20 22:51:29.258783+00"
