id,hotel_id,url_id,language,service,service_category,created_at
35,8280e105-8946-4e77-ad2a-409767cbb082,6852288e-b661-42ff-8ecd-caaaec3a8a84,en,Express check-in/check-out,,2026-04-06 23:02:35.429892+01
36,8280e105-8946-4e77-ad2a-409767cbb082,6852288e-b661-42ff-8ecd-caaaec3a8a84,en,Invoice provided,,2026-04-06 23:02:35.429892+01
37,8280e105-8946-4e77-ad2a-409767cbb082,6852288e-b661-42ff-8ecd-caaaec3a8a84,en,Fire extinguishers,,2026-04-06 23:02:35.429892+01
38,8280e105-8946-4e77-ad2a-409767cbb082,6852288e-b661-42ff-8ecd-caaaec3a8a84,en,CCTV outside property,,2026-04-06 23:02:35.429892+01
39,8280e105-8946-4e77-ad2a-409767cbb082,6852288e-b661-42ff-8ecd-caaaec3a8a84,en,CCTV in common areas,,2026-04-06 23:02:35.429892+01
40,8280e105-8946-4e77-ad2a-409767cbb082,6852288e-b661-42ff-8ecd-caaaec3a8a84,en,Smoke alarms,,2026-04-06 23:02:35.429892+01
41,8280e105-8946-4e77-ad2a-409767cbb082,6852288e-b661-42ff-8ecd-caaaec3a8a84,en,Key access,,2026-04-06 23:02:35.429892+01
42,8280e105-8946-4e77-ad2a-409767cbb082,6852288e-b661-42ff-8ecd-caaaec3a8a84,en,Hypoallergenic,,2026-04-06 23:02:35.429892+01
43,8280e105-8946-4e77-ad2a-409767cbb082,6852288e-b661-42ff-8ecd-caaaec3a8a84,en,Air conditioning,,2026-04-06 23:02:35.429892+01
44,8280e105-8946-4e77-ad2a-409767cbb082,6852288e-b661-42ff-8ecd-caaaec3a8a84,en,Non-smoking throughout,,2026-04-06 23:02:35.429892+01
45,8280e105-8946-4e77-ad2a-409767cbb082,6852288e-b661-42ff-8ecd-caaaec3a8a84,en,Soundproofing,,2026-04-06 23:02:35.429892+01
46,8280e105-8946-4e77-ad2a-409767cbb082,6852288e-b661-42ff-8ecd-caaaec3a8a84,en,Private entrance,,2026-04-06 23:02:35.429892+01
47,8280e105-8946-4e77-ad2a-409767cbb082,6852288e-b661-42ff-8ecd-caaaec3a8a84,en,Soundproof rooms,,2026-04-06 23:02:35.429892+01
48,8280e105-8946-4e77-ad2a-409767cbb082,6852288e-b661-42ff-8ecd-caaaec3a8a84,en,Heating,,2026-04-06 23:02:35.429892+01
