"id","recorded_at","cpu_usage","memory_usage","active_workers","db_pool_checked_out","redis_connected","urls_pending","urls_done","extra_data"
"66","2026-03-21 03:57:52.768729+00","14.8","38.7",NULL,0,NULL,0,13,"{}"
"67","2026-03-21 04:02:52.769412+00","13.7","38.6",NULL,0,NULL,0,13,"{}"
"68","2026-03-21 04:07:52.769372+00","14.1","38.6",NULL,0,NULL,0,13,"{}"
"69","2026-03-21 04:12:52.76993+00","14.1","38.6",NULL,0,NULL,0,13,"{}"
"70","2026-03-21 04:17:52.769163+00","12.9","38.7",NULL,0,NULL,0,13,"{}"
"71","2026-03-21 04:22:52.769279+00","14.3","38.8",NULL,0,NULL,0,13,"{}"
"72","2026-03-21 04:27:52.76898+00","12.7","38.6",NULL,0,NULL,0,13,"{}"
"73","2026-03-21 04:32:52.76914+00","16.1","38.6",NULL,0,NULL,0,13,"{}"
"74","2026-03-21 04:37:52.769834+00","13.2","39.1",NULL,0,NULL,0,13,"{}"
"75","2026-03-21 04:42:52.769526+00","17.6","38.7",NULL,0,NULL,0,13,"{}"
"76","2026-03-21 04:47:52.769097+00","14","38.7",NULL,0,NULL,0,13,"{}"
"77","2026-03-21 04:52:52.769367+00","16.3","38.6",NULL,0,NULL,0,13,"{}"
"78","2026-03-21 04:57:52.769936+00","14.5","38.6",NULL,0,NULL,0,13,"{}"
"79","2026-03-21 05:02:52.769404+00","18.5","38.8",NULL,0,NULL,0,13,"{}"
"80","2026-03-21 05:07:52.769612+00","13.4","38.6",NULL,0,NULL,0,13,"{}"
"81","2026-03-21 05:12:52.769116+00","15","38.5",NULL,0,NULL,0,13,"{}"
"82","2026-03-21 05:17:52.769174+00","22","38.9",NULL,0,NULL,0,13,"{}"
"83","2026-03-21 05:22:52.773771+00","12.9","38.6",NULL,0,NULL,0,13,"{}"
"84","2026-03-21 05:27:52.772871+00","12.8","38.5",NULL,0,NULL,0,13,"{}"
"85","2026-03-21 05:32:52.773223+00","13.7","38.6",NULL,0,NULL,0,13,"{}"
"86","2026-03-21 05:37:52.774601+00","14","38.7",NULL,0,NULL,0,13,"{}"
"87","2026-03-21 05:42:52.773923+00","14","38.8",NULL,0,NULL,0,13,"{}"
"88","2026-03-21 05:47:52.774167+00","13.6","38.7",NULL,0,NULL,0,13,"{}"
"89","2026-03-21 05:52:52.774251+00","12.5","38.7",NULL,0,NULL,0,13,"{}"
"90","2026-03-21 05:57:52.774354+00","20.6","38.8",NULL,0,NULL,0,13,"{}"
"91","2026-03-21 06:02:52.774047+00","16","38.5",NULL,0,NULL,0,13,"{}"
"93","2026-03-21 06:12:52.773584+00","18.1","38.7",NULL,0,NULL,0,13,"{}"
"94","2026-03-21 06:17:52.775866+00","27.3","38.9",NULL,0,NULL,0,13,"{}"
"97","2026-03-21 06:32:52.776879+00","25.1","38.7",NULL,0,NULL,0,13,"{}"
"98","2026-03-21 06:37:52.776637+00","24.6","38.7",NULL,0,NULL,0,13,"{}"
"92","2026-03-21 06:07:52.774052+00","13.1","38.6",NULL,0,NULL,0,13,"{}"
"95","2026-03-21 06:22:52.776387+00","26.8","38.7",NULL,0,NULL,0,13,"{}"
"96","2026-03-21 06:27:52.784849+00","26.6","38.7",NULL,0,NULL,0,13,"{}"
"99","2026-03-21 06:42:52.777735+00","26.2","38.7",NULL,0,NULL,0,13,"{}"
"100","2026-03-21 06:47:52.776575+00","27.6","38.6",NULL,0,NULL,0,13,"{}"
"101","2026-03-21 06:52:52.776332+00","25.3","38.6",NULL,0,NULL,0,13,"{}"
"102","2026-03-21 06:57:52.777192+00","28.6","38.6",NULL,0,NULL,0,13,"{}"
"103","2026-03-21 07:02:52.776818+00","25.5","38.7",NULL,0,NULL,0,13,"{}"
"104","2026-03-21 07:07:52.776536+00","27.7","38.8",NULL,0,NULL,0,13,"{}"
"105","2026-03-21 07:12:52.780189+00","27.1","38.7",NULL,0,NULL,0,13,"{}"
"106","2026-03-21 07:17:52.780375+00","27","38.9",NULL,0,NULL,0,13,"{}"
"107","2026-03-21 07:22:52.781875+00","27.4","38.8",NULL,0,NULL,0,13,"{}"
"108","2026-03-21 07:27:52.779734+00","26.2","38.7",NULL,0,NULL,0,13,"{}"
