"id","hotel_id","url_id","language","legal","legal_info","legal_details","created_at"
"1","f47d1e2e-4716-498a-87e8-04c7a99d7d50","4356f819-e6aa-42f8-b349-bd9ceb370bee","es","Información legal e importante","Información legal e importante",NULL,"2026-03-20 22:31:59.175949+00"
"2","7b535877-4655-41e0-9aca-1e24eb5a584d","493d91e2-866e-4566-abed-318b8ce16a41","es","Información legal e importante","Información legal e importante",NULL,"2026-03-20 22:33:18.428923+00"
"3","a9b7575b-67e8-4080-aeda-4d21ec71a09f","4356f819-e6aa-42f8-b349-bd9ceb370bee","en","Legal information","This property is managed, licensed or represented by a business. This label has no relevance in terms of tax, including VAT and other 'indirect taxes', but is required under applicable consumer laws. You can find more information about the business here: See business details .",NULL,"2026-03-20 22:36:09.341451+00"
"4","81f78315-96d8-4f01-85db-3da03c88d183","493d91e2-866e-4566-abed-318b8ce16a41","en","Legal information","This property is managed, licensed or represented by a business. This label has no relevance in terms of tax, including VAT and other 'indirect taxes', but is required under applicable consumer laws. You can find more information about the business here: See business details .",NULL,"2026-03-20 22:39:02.499891+00"
"5","b4276028-c46f-4910-b9df-4166184b6679","4356f819-e6aa-42f8-b349-bd9ceb370bee","de","Rechtliche Informationen","Diese Unterkunft wird durch ein Unternehmen verwaltet, lizenziert oder vertreten. Diese Kennzeichnung hat keine steuerliche Relevanz, einschließlich MwSt. und weiterer „indirekter Steuern“. Sie ist jedoch nach geltendem Verbraucherrecht erforderlich. Weitere Informationen zum Unternehmen finden Sie in den: Angaben zum Unternehmen .",NULL,"2026-03-20 22:40:21.997261+00"
"6","daaf6927-e029-4315-98f7-0e14bb055469","493d91e2-866e-4566-abed-318b8ce16a41","de","Rechtliche Informationen","Diese Unterkunft wird durch ein Unternehmen verwaltet, lizenziert oder vertreten. Diese Kennzeichnung hat keine steuerliche Relevanz, einschließlich MwSt. und weiterer „indirekter Steuern“. Sie ist jedoch nach geltendem Verbraucherrecht erforderlich. Weitere Informationen zum Unternehmen finden Sie in den: Angaben zum Unternehmen .",NULL,"2026-03-20 22:41:39.209135+00"
"7","55af2629-e1fc-4bdb-a03f-96594893b457","4356f819-e6aa-42f8-b349-bd9ceb370bee","it","Informazioni legali","Questa struttura è gestita, autorizzata o rappresentata da un'azienda. Questa definizione non ha rilevanza in termini fiscali, incluse l'IVA e altre ""imposte indirette"", ma è obbligatoria ai sensi delle norme applicabili per la tutela dei consumatori. Per sapere di più sull'azienda, vai a: dettagli dell'azienda .",NULL,"2026-03-20 22:45:49.06362+00"
"8","dc7fa076-dfd5-47d7-b713-ca2642aad7e6","493d91e2-866e-4566-abed-318b8ce16a41","it","Informazioni legali","Questa struttura è gestita, autorizzata o rappresentata da un'azienda. Questa definizione non ha rilevanza in termini fiscali, incluse l'IVA e altre ""imposte indirette"", ma è obbligatoria ai sensi delle norme applicabili per la tutela dei consumatori. Per sapere di più sull'azienda, vai a: dettagli dell'azienda .",NULL,"2026-03-20 22:47:08.051471+00"
"9","f83cee6a-28bd-4294-825b-e23d3625facd","4356f819-e6aa-42f8-b349-bd9ceb370bee","nl","Juridische informatie","Deze accommodatie wordt beheerd, gelicentieerd of vertegenwoordigd door een bedrijf. Dit label heeft geen relevantie voor wat betreft belasting, inclusief btw en andere 'indirecte belastingen'. Het is echter een vereiste onder het van toepassing zijnde consumentenrecht. Meer informatie over het bedrijf vind je hier: Bekijk bedrijfsgegevens .",NULL,"2026-03-20 22:48:26.423148+00"
"10","0c7ebda2-e258-477e-85a8-edc91bc0eef4","493d91e2-866e-4566-abed-318b8ce16a41","nl","Juridische informatie","Deze accommodatie wordt beheerd, gelicentieerd of vertegenwoordigd door een bedrijf. Dit label heeft geen relevantie voor wat betreft belasting, inclusief btw en andere 'indirecte belastingen'. Het is echter een vereiste onder het van toepassing zijnde consumentenrecht. Meer informatie over het bedrijf vind je hier: Bekijk bedrijfsgegevens .",NULL,"2026-03-20 22:50:11.31528+00"
"11","a2a7a301-54f8-4a3e-af0b-5fd4d84d000d","0fa5c633-632b-4609-94e6-4240aed48871","es","Información legal e importante","Información legal e importante",NULL,"2026-03-20 22:54:04.796859+00"
"12","e3c5d548-592c-4edb-9802-ea94b6f97e11","7e509834-ef44-484e-8286-616d61ae6bf6","es","Información legal e importante","Información legal e importante",NULL,"2026-03-20 22:55:46.700149+00"
