id,hotel_id,id_photo,category,url,name_jpg,local_path,file_size_bytes,content_type,status,error_message,created_at,downloaded_at
8a5bad89-2636-4d1c-a884-14111f918e88,4f174a9a-a1d0-42ea-b079-27c3afe81f48,689963376,highres_url,https://cf.bstatic.com/xdata/images/hotel/max1280x900/689963376.jpg?k=81d5047bff62f929a83a9c1c45b06b6bfac3c9ae6326f016ef69f863e49f4202&o=&hp=1,689963376.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\689963376_highr.jpg,93073,image/jpeg,done,,2026-06-02 23:48:17.134808+01,2026-06-02 23:48:17.134381+01
9a179ab5-6725-40c0-a610-cf79b94cc1d3,4f174a9a-a1d0-42ea-b079-27c3afe81f48,689963376,large_url,https://cf.bstatic.com/xdata/images/hotel/max1024x768/689963376.jpg?k=81d5047bff62f929a83a9c1c45b06b6bfac3c9ae6326f016ef69f863e49f4202&o=&hp=1,689963376.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\689963376_large.jpg,73835,image/jpeg,done,,2026-06-02 23:48:17.172846+01,2026-06-02 23:48:17.172419+01
845651d5-a3f0-4083-9f72-2aa6af0b8cda,4f174a9a-a1d0-42ea-b079-27c3afe81f48,428646601,large_url,https://cf.bstatic.com/xdata/images/hotel/max1024x768/428646601.jpg?k=79b8687faa4a5f0a9c1918322039b5c12e40704d89fc9be50204418b0769a161&o=&hp=1,428646601.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\428646601_large.jpg,87547,image/jpeg,done,,2026-06-02 23:48:17.284451+01,2026-06-02 23:48:17.284014+01
a39925cd-bfe4-4370-be1a-bcf292c4c978,4f174a9a-a1d0-42ea-b079-27c3afe81f48,428646601,thumb_url,https://cf.bstatic.com/xdata/images/hotel/max200/428646601.jpg?k=79b8687faa4a5f0a9c1918322039b5c12e40704d89fc9be50204418b0769a161&o=&hp=1,428646601.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\428646601_thumb.jpg,6301,image/jpeg,done,,2026-06-02 23:48:17.320101+01,2026-06-02 23:48:17.31971+01
85ee6ed9-7f88-48de-a7e4-03c1630dc4d2,4f174a9a-a1d0-42ea-b079-27c3afe81f48,428646601,highres_url,https://cf.bstatic.com/xdata/images/hotel/max1280x900/428646601.jpg?k=79b8687faa4a5f0a9c1918322039b5c12e40704d89fc9be50204418b0769a161&o=&hp=1,428646601.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\428646601_highr.jpg,111789,image/jpeg,done,,2026-06-02 23:48:17.365595+01,2026-06-02 23:48:17.365303+01
82cda294-a0d1-4277-90ae-ce151723932b,4f174a9a-a1d0-42ea-b079-27c3afe81f48,689962672,large_url,https://cf.bstatic.com/xdata/images/hotel/max1024x768/689962672.jpg?k=01b28470fe6814d871cb8d3f6be60d058772a0857c69dfe917a197698648ca60&o=&hp=1,689962672.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\689962672_large.jpg,70244,image/jpeg,done,,2026-06-02 23:48:17.483063+01,2026-06-02 23:48:17.482634+01
b8d150d7-458a-4cff-bdb5-eb6dba05287f,4f174a9a-a1d0-42ea-b079-27c3afe81f48,689962672,thumb_url,https://cf.bstatic.com/xdata/images/hotel/max200/689962672.jpg?k=01b28470fe6814d871cb8d3f6be60d058772a0857c69dfe917a197698648ca60&o=&hp=1,689962672.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\689962672_thumb.jpg,6804,image/jpeg,done,,2026-06-02 23:48:17.524128+01,2026-06-02 23:48:17.5237+01
2b5227cf-5bc4-4065-a4ec-e61256ae7ae3,4f174a9a-a1d0-42ea-b079-27c3afe81f48,689962672,highres_url,https://cf.bstatic.com/xdata/images/hotel/max1280x900/689962672.jpg?k=01b28470fe6814d871cb8d3f6be60d058772a0857c69dfe917a197698648ca60&o=&hp=1,689962672.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\689962672_highr.jpg,92098,image/jpeg,done,,2026-06-02 23:48:17.53565+01,2026-06-02 23:48:17.53508+01
b787502b-3b23-45fd-a53d-4efb4446c569,4f174a9a-a1d0-42ea-b079-27c3afe81f48,427123968,large_url,https://cf.bstatic.com/xdata/images/hotel/max1024x768/427123968.jpg?k=253bdad3f9dfbf0c86aebbe4c079dca79439a49f3ae702eb40980f509d98ab33&o=&hp=1,427123968.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\427123968_large.jpg,60461,image/jpeg,done,,2026-06-02 23:48:17.671692+01,2026-06-02 23:48:17.671267+01
46ffcaa7-2624-44f9-bdf3-1e79a3082c16,4f174a9a-a1d0-42ea-b079-27c3afe81f48,427123968,thumb_url,https://cf.bstatic.com/xdata/images/hotel/max200/427123968.jpg?k=253bdad3f9dfbf0c86aebbe4c079dca79439a49f3ae702eb40980f509d98ab33&o=&hp=1,427123968.jpg,data\images\4f174a9a-a1d0-42ea-b079-27c3afe81f48\427123968_thumb.jpg,5058,image/jpeg,done,,2026-06-02 23:48:17.680824+01,2026-06-02 23:48:17.680463+01
