id,recorded_at,cpu_usage,memory_usage,active_workers,db_pool_checked_out,redis_connected,urls_pending,urls_done,extra_data
82,2026-06-17 00:25:26.926918+01,7,61.4,,0,,11,130,{}
83,2026-06-17 00:32:09.885892+01,7.1,61.3,,0,,9,132,{}
84,2026-06-17 00:39:16.993795+01,0,61.5,,0,,7,134,{}
85,2026-06-17 00:45:57.589626+01,8.5,61,,0,,5,136,{}
86,2026-06-17 00:52:22.451503+01,0,61.1,,0,,3,138,{}
87,2026-06-17 00:58:30.374035+01,10.2,61.6,,0,,1,140,{}
88,2026-06-17 01:09:33.186033+01,14.1,60.2,,0,,0,140,{}
89,2026-06-17 01:09:33.715607+01,0,60.2,,0,,0,140,{}
90,2026-06-17 01:09:34.248404+01,11.7,60.2,,0,,0,140,{}
91,2026-06-17 01:09:34.760785+01,4,60.2,,0,,0,140,{}
92,2026-06-17 01:09:35.28345+01,11.5,60.2,,0,,0,140,{}
93,2026-06-17 01:09:35.807531+01,3.9,60.2,,0,,0,140,{}
94,2026-06-17 01:09:36.33015+01,31.2,60.7,,0,,0,140,{}
95,2026-06-17 01:09:36.839956+01,7.8,60.6,,0,,0,140,{}
96,2026-06-17 01:09:37.362523+01,10.2,60.3,,0,,0,140,{}
97,2026-06-17 01:09:37.885334+01,5.4,60.3,,0,,0,140,{}
98,2026-06-17 01:09:38.407504+01,9.2,60.3,,0,,0,140,{}
99,2026-06-17 01:09:38.919882+01,7.1,60.3,,0,,0,140,{}
100,2026-06-17 01:09:39.441076+01,7,60.3,,0,,0,140,{}
101,2026-06-17 01:12:51.804757+01,7.1,59.8,,0,,0,140,{}
102,2026-06-17 01:17:51.805203+01,1.6,59.3,,0,,0,140,{}
103,2026-06-17 01:22:51.80982+01,10.1,59.6,,0,,0,140,{}
104,2026-06-17 01:27:51.809719+01,2.4,60.1,,0,,0,140,{}
105,2026-06-17 01:32:51.812526+01,9.5,60.2,,0,,0,140,{}
106,2026-06-17 01:37:51.812136+01,10.3,60.5,,0,,0,140,{}
107,2026-06-17 01:42:51.811683+01,18.8,60.9,,0,,0,140,{}
108,2026-06-17 01:47:51.813777+01,7,60.4,,0,,0,140,{}
109,2026-06-17 01:52:51.812128+01,6.2,59.7,,0,,0,140,{}
110,2026-06-17 01:57:51.824459+01,3.9,60,,0,,0,140,{}
111,2026-06-17 02:02:51.83267+01,10.6,60,,0,,0,140,{}
112,2026-06-17 02:07:51.834035+01,14,59.3,,0,,0,140,{}
113,2026-06-17 02:12:51.839302+01,6.2,59.4,,0,,0,140,{}
114,2026-06-17 02:17:51.840912+01,10.1,58.9,,0,,0,140,{}
115,2026-06-17 02:22:51.856724+01,20,59,,0,,0,140,{}
116,2026-06-17 02:27:51.855833+01,8.6,59.2,,0,,0,140,{}
117,2026-06-17 02:32:51.85934+01,9.4,59.1,,0,,0,140,{}
118,2026-06-17 02:37:51.857882+01,14,59,,0,,0,140,{}
119,2026-06-17 02:42:51.862963+01,7,59.3,,0,,0,140,{}
120,2026-06-17 02:47:51.863421+01,3.1,58.8,,0,,0,140,{}
121,2026-06-17 02:52:51.86351+01,9.4,59.1,,0,,0,140,{}
122,2026-06-17 02:57:51.864155+01,7.7,58.9,,0,,0,140,{}
