url;count(aria-label)
https://www.booking.com/hotel/at/schloss-gamlitz.en-gb.html?lang=en-gb;32
https://www.booking.com/hotel/at/traumhotel-alpina.en-gb.html?lang=en-gb;107
https://www.booking.com/hotel/at/bergblick-gra-n.en-gb.html?lang=en-gb;70
https://www.booking.com/hotel/at/steinerhaus-berggasthof.en-gb.html?lang=en-gb;52
https://www.booking.com/hotel/at/hotel-sued-graz.en-gb.html?lang=en-gb;111
https://www.booking.com/hotel/at/aton.en-gb.html?lang=en-gb;48
https://www.booking.com/hotel/at/ferdls-gasthof.en-gb.html?lang=en-gb;88
https://www.booking.com/hotel/at/haus-mobene-garni.en-gb.html?lang=en-gb;31
https://www.booking.com/hotel/at/roomz-graz.en-gb.html?lang=en-gb;62
https://www.booking.com/hotel/at/wellnesshotel-edelweiss.en-gb.html?lang=en-gb;152
https://www.booking.com/hotel/at/familien-natur-resort-moar-gut.en-gb.html?lang=en-gb;103
https://www.booking.com/hotel/at/jufa-grundlsee.en-gb.html?lang=en-gb;48
https://www.booking.com/hotel/at/seehotel-grundlsee.en-gb.html?lang=en-gb;47
https://www.booking.com/hotel/at/travel-charme-ifen.en-gb.html?lang=en-gb;70
https://www.booking.com/hotel/at/adler-hirschegg.en-gb.html?lang=en-gb;31
https://www.booking.com/hotel/at/suitehotel-kleinwalsertal.en-gb.html?lang=en-gb;31
https://www.booking.com/hotel/at/schlosshotel-romantica.en-gb.html?lang=en-gb;48
https://www.booking.com/hotel/at/trofana-royal.en-gb.html?lang=en-gb;62
https://www.booking.com/hotel/at/sporthotel-silvretta.en-gb.html?lang=en-gb;262
https://www.booking.com/hotel/at/elisbeth.en-gb.html?lang=en-gb;84
https://www.booking.com/hotel/at/kempinski-hotel-das-tirol.en-gb.html?lang=en-gb;154
https://www.booking.com/hotel/at/jufa-judenburg.en-gb.html?lang=en-gb;93
https://www.booking.com/hotel/at/stadthotel-schwesterbra-u.en-gb.html?lang=en-gb;86
https://www.booking.com/hotel/at/gasthof-murblick.en-gb.html?lang=en-gb;67
https://www.booking.com/hotel/at/zhero-alps-fashion.en-gb.html?lang=en-gb;126
https://www.booking.com/hotel/at/gasthof-ochnerbauer.en-gb.html?lang=en-gb;48
https://www.booking.com/hotel/at/gasthof-pension-stieber.en-gb.html?lang=en-gb;122
https://www.booking.com/hotel/at/das-friedrich.en-gb.html?lang=en-gb;33
https://www.booking.com/hotel/at/gasthof-rothwangl-hannes.en-gb.html?lang=en-gb;39
https://www.booking.com/hotel/at/naturhotel-waldklause.en-gb.html?lang=en-gb;43
https://www.booking.com/hotel/at/lachtalhaus.en-gb.html?lang=en-gb;61
https://www.booking.com/hotel/at/alpengasthof-tanzstatt.en-gb.html?lang=en-gb;88
https://www.booking.com/hotel/at/gasthof-niggas-kranerwirt.en-gb.html?lang=en-gb;21
https://www.booking.com/hotel/at/dolomitengolf-suites-lavant.en-gb.html?lang=en-gb;70
https://www.booking.com/hotel/at/sonnenburg.en-gb.html?lang=en-gb;46
https://www.booking.com/hotel/at/arlberg.en-gb.html?lang=en-gb;101
https://www.booking.com/hotel/at/gasthof-post.en-gb.html?lang=en-gb;109
https://www.booking.com/hotel/at/burg-vital-resort.en-gb.html?lang=en-gb;160
https://www.booking.com/hotel/at/blumen-haus-lech.en-gb.html?lang=en-gb;52
https://www.booking.com/hotel/at/der-krallerhof.en-gb.html?lang=en-gb;87
https://www.booking.com/hotel/at/cafe-bar-highway.en-gb.html?lang=en-gb;53
https://www.booking.com/hotel/at/grand-lienz.en-gb.html?lang=en-gb;149
https://www.booking.com/hotel/at/seehof-loibichl-am-mondsee.en-gb.html?lang=en-gb;19
https://www.booking.com/hotel/at/jufa-maria-lankowitz.en-gb.html?lang=en-gb;69
https://www.booking.com/hotel/at/jufa-sigmundsberg.en-gb.html?lang=en-gb;40
https://www.booking.com/hotel/at/zum-heiligen-geist.en-gb.html?lang=en-gb;134
https://www.booking.com/hotel/at/drei-hasen.en-gb.html?lang=en-gb;57
https://www.booking.com/hotel/at/cocoon.en-gb.html?lang=en-gb;69
https://www.booking.com/hotel/at/spa-jagdhof.en-gb.html?lang=en-gb;145
https://www.booking.com/hotel/at/bruecklwirt.en-gb.html?lang=en-gb;58
https://www.booking.com/hotel/at/sporthotel-cinderella.en-gb.html?lang=en-gb;104
https://www.booking.com/hotel/at/das-seekarhaus.en-gb.html?lang=en-gb;161
https://www.booking.com/hotel/at/gesundheits-amp-wellness-resort-oberzeiring.en-gb.html?lang=en-gb;26
https://www.booking.com/hotel/at/jufa-pollau.en-gb.html?lang=en-gb;30
https://www.booking.com/hotel/at/jufa-planneralm.en-gb.html?lang=en-gb;29
https://www.booking.com/hotel/at/post-ramsau-am-dachstein.en-gb.html?lang=en-gb;30
https://www.booking.com/hotel/at/pehab-kirchenwirt.en-gb.html?lang=en-gb;104
https://www.booking.com/hotel/at/roesslhof.en-gb.html?lang=en-gb;69
https://www.booking.com/hotel/at/bergland-solden.en-gb.html?lang=en-gb;84
https://www.booking.com/hotel/at/central-spa-solden.en-gb.html?lang=en-gb;67
https://www.booking.com/hotel/at/hyperion-salzburg-salzburg.en-gb.html?lang=en-gb;38
https://www.booking.com/hotel/at/sheratonsalzburg.en-gb.html?lang=en-gb;163
https://www.booking.com/hotel/at/rosewood-schloss-fuschl.en-gb.html?lang=en-gb;84
https://www.booking.com/hotel/at/raffl-s-st-antoner-hof.en-gb.html?lang=en-gb;57
https://www.booking.com/hotel/at/lambrechterhof.en-gb.html?lang=en-gb;66
https://www.booking.com/hotel/at/waldschlossl-gasthof.en-gb.html?lang=en-gb;25
