"id","hotel_id","url_id","language","popular_service","created_at"
"58","fa86fb44-682c-4733-8112-db42b47f889e","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","es","Piscina al aire libre","2026-03-23 02:28:00.75785+00"
"59","fa86fb44-682c-4733-8112-db42b47f889e","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","es","Spa y centro de bienestar","2026-03-23 02:28:00.757854+00"
"60","fa86fb44-682c-4733-8112-db42b47f889e","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","es","Gimnasio","2026-03-23 02:28:00.757855+00"
"61","fa86fb44-682c-4733-8112-db42b47f889e","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","es","Restaurante","2026-03-23 02:28:00.757855+00"
"62","fa86fb44-682c-4733-8112-db42b47f889e","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","es","WiFi gratis","2026-03-23 02:28:00.757856+00"
"63","fa86fb44-682c-4733-8112-db42b47f889e","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","es","Parking gratis","2026-03-23 02:28:00.757857+00"
"64","fa86fb44-682c-4733-8112-db42b47f889e","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","es","Habitaciones sin humo","2026-03-23 02:28:00.757858+00"
"65","fa86fb44-682c-4733-8112-db42b47f889e","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","es","Tetera/cafetera en todas las habitaciones","2026-03-23 02:28:00.757858+00"
"66","fa86fb44-682c-4733-8112-db42b47f889e","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","es","Bar","2026-03-23 02:28:00.757859+00"
"67","fa86fb44-682c-4733-8112-db42b47f889e","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","es","Desayuno","2026-03-23 02:28:00.757859+00"
"68","fba956fa-cb25-49f2-b483-16c49eea3a23","82120e1b-3dd5-41a2-804b-86504d39fed6","en","Outdoor swimming pool","2026-03-23 02:30:51.991733+00"
"69","fba956fa-cb25-49f2-b483-16c49eea3a23","82120e1b-3dd5-41a2-804b-86504d39fed6","en","Airport shuttle (free)","2026-03-23 02:30:51.991738+00"
"70","fba956fa-cb25-49f2-b483-16c49eea3a23","82120e1b-3dd5-41a2-804b-86504d39fed6","en","Spa and wellness centre","2026-03-23 02:30:51.991739+00"
"71","fba956fa-cb25-49f2-b483-16c49eea3a23","82120e1b-3dd5-41a2-804b-86504d39fed6","en","Non-smoking rooms","2026-03-23 02:30:51.99174+00"
"72","fba956fa-cb25-49f2-b483-16c49eea3a23","82120e1b-3dd5-41a2-804b-86504d39fed6","en","Fitness centre","2026-03-23 02:30:51.991741+00"
"73","fba956fa-cb25-49f2-b483-16c49eea3a23","82120e1b-3dd5-41a2-804b-86504d39fed6","en","Beachfront","2026-03-23 02:30:51.991742+00"
"74","fba956fa-cb25-49f2-b483-16c49eea3a23","82120e1b-3dd5-41a2-804b-86504d39fed6","en","Free WiFi","2026-03-23 02:30:51.991744+00"
"75","fba956fa-cb25-49f2-b483-16c49eea3a23","82120e1b-3dd5-41a2-804b-86504d39fed6","en","Bar","2026-03-23 02:30:51.991745+00"
"76","fba956fa-cb25-49f2-b483-16c49eea3a23","82120e1b-3dd5-41a2-804b-86504d39fed6","en","Private beach area","2026-03-23 02:30:51.991746+00"
"77","fba956fa-cb25-49f2-b483-16c49eea3a23","82120e1b-3dd5-41a2-804b-86504d39fed6","en","Breakfast","2026-03-23 02:30:51.991747+00"
"78","e266eeb3-d7c3-41a4-ae52-bf2300a60f25","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","en","Outdoor swimming pool","2026-03-23 02:33:48.813442+00"
"79","e266eeb3-d7c3-41a4-ae52-bf2300a60f25","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","en","Spa and wellness centre","2026-03-23 02:33:48.813445+00"
"80","e266eeb3-d7c3-41a4-ae52-bf2300a60f25","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","en","Fitness centre","2026-03-23 02:33:48.813446+00"
"81","e266eeb3-d7c3-41a4-ae52-bf2300a60f25","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","en","Restaurant","2026-03-23 02:33:48.813447+00"
"82","e266eeb3-d7c3-41a4-ae52-bf2300a60f25","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","en","Free WiFi","2026-03-23 02:33:48.813447+00"
"83","e266eeb3-d7c3-41a4-ae52-bf2300a60f25","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","en","Free parking","2026-03-23 02:33:48.813448+00"
"84","e266eeb3-d7c3-41a4-ae52-bf2300a60f25","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","en","Non-smoking rooms","2026-03-23 02:33:48.813449+00"
"85","e266eeb3-d7c3-41a4-ae52-bf2300a60f25","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","en","Tea/coffee maker in all rooms","2026-03-23 02:33:48.813449+00"
"86","e266eeb3-d7c3-41a4-ae52-bf2300a60f25","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","en","Bar","2026-03-23 02:33:48.81345+00"
"87","e266eeb3-d7c3-41a4-ae52-bf2300a60f25","6eb4d038-07d4-4b93-9a69-7aa19c4586b5","en","Breakfast","2026-03-23 02:33:48.81345+00"
"88","089f88d7-d807-40c5-9d28-3632ec4b9424","82120e1b-3dd5-41a2-804b-86504d39fed6","de","Außenpool","2026-03-23 02:35:07.679592+00"
