external_ref,url_id,hotel_id,length_description,img_highres_count,count_service_category,count_service,hotel_review_score,hotel_review_count,base_url,book_lenght,book_imagenes,book_count_service_category,book_count_service,book_review_score,book_review_count,book_quality,book_destino_Turistico,book_destino_General
76194,3c7ce574-61d2-4525-8a26-969fc7d327b9,ebb852e0-d9c3-4925-9aba-df30798e7858,620,33,5,10,8.5,3669,https://www.booking.com/hotel/at/palais-erzerzog-johann.html,620,33,7,27,8.5,3668,4,Graz,Austria
76196,8b9500f3-17da-4a4d-88df-568d5ab0c1d4,41541910-0a81-4fea-812b-4bf7cd4f5de4,381,33,10,36,8.2,4957,https://www.booking.com/hotel/at/bandbgraz.html,381,33,4,12,8.2,4909,0,Graz,Austria
76197,466974f7-dbec-4442-b2e1-c6c58df1348f,162699bc-b7e2-48a7-a310-e47bdeb54fca,771,35,9,38,8.9,4570,https://www.booking.com/hotel/at/motel-one-graz.html,784,35,11,48,8.9,4618,3,Graz,Austria
76199,dbba7029-5d92-488b-a2b6-5936ad4ccd6d,160ffdfb-93ff-4fa9-b016-8dfd19ad0a16,669,45,12,50,8.5,2163,https://www.booking.com/hotel/at/mercuregrazcity.html,669,111,12,58,8.5,2175,4,Graz,Austria
76200,37747323-224e-40cb-988b-cfb993ba6cf1,10c98c83-70e3-4971-8054-f51e69db9251,761,45,11,44,8.1,3745,https://www.booking.com/hotel/at/shome-hotels-smart-business.html,771,71,4,12,8.1,3747,0,Graz,Austria
76202,5658d706-f3c0-4041-a912-affc86c50204,dca22c08-0337-489f-baad-e2a372232671,757,28,13,72,8.6,1548,https://www.booking.com/hotel/at/dreiraben.html,757,28,5,13,8.6,1578,4,Graz,Austria
76203,f8b6a788-5587-4b99-88de-e61a32b8b224,7e356274-0604-462c-a722-b47c7a73723e,936,25,11,63,8.6,2249,https://www.booking.com/hotel/at/zur-steirerstubn.html,936,25,5,13,8.6,2269,3,Graz,Austria
76204,bc3fc8e5-e23f-4b4e-8843-12834d19bd31,968e74aa-310b-4aed-be27-8847afbcd1ac,670,25,11,52,7.8,2572,https://www.booking.com/hotel/at/strasser.html,670,25,5,12,7.8,2574,3,Graz,Austria
76206,d5c9c67d-af03-44e8-bff2-29a65673b8ec,b43044bd-f03d-48d6-956c-85250765e304,659,36,10,54,8.8,1825,https://www.booking.com/hotel/at/zum-dom-betriebsgesmbh.html,659,36,5,13,8.8,1832,4,Graz,Austria
76208,de0735c3-b441-49c3-9f09-b57178673421,83c152ad-1f8f-49a6-9022-8841e7a6255c,643,21,10,56,9,1467,https://www.booking.com/hotel/at/feichtinger-graz.html,643,21,14,64,9.0,1527,4,Graz,Austria
