"id","url_id","hotel_id","language","event_type","status","error_message","duration_ms","worker_id","extra_data","scraped_at"
"12891e1e-b9f6-44c7-b23d-e984a4c04766","0fa5c633-632b-4609-94e6-4240aed48871",NULL,"pt","scrape_success","done",NULL,172702,NULL,"{}","2026-03-20 23:13:51.253019+00"
"5cc27b42-8ce0-40a5-8d81-59c81a2af20d","7e509834-ef44-484e-8286-616d61ae6bf6",NULL,"pt","scrape_success","done",NULL,157041,NULL,"{}","2026-03-20 23:15:10.026783+00"
"811dc33c-322b-4be8-b4d9-1308ef42d401","2741d8d5-15c8-42f2-91ca-744414e755f1",NULL,"es","scrape_success","done",NULL,155421,NULL,"{}","2026-03-20 23:16:27.321645+00"
"699b2948-8cfd-4d65-8974-0e05e73a8067","a1da6af5-6d39-481c-98ab-b162305f9118",NULL,"es","scrape_success","done",NULL,167076,NULL,"{}","2026-03-20 23:17:57.502461+00"
"cd5a41c2-fc52-418f-bff4-654668cb8e92","2741d8d5-15c8-42f2-91ca-744414e755f1",NULL,"en","scrape_success","done",NULL,264876,NULL,"{}","2026-03-20 23:20:52.784789+00"
"c45aa7a6-e467-4c8c-b3d6-1f3ea23a6119","a1da6af5-6d39-481c-98ab-b162305f9118",NULL,"en","scrape_success","done",NULL,342804,NULL,"{}","2026-03-20 23:23:40.637263+00"
"41629e63-e519-4e58-90dd-126d75c2f1e9","2741d8d5-15c8-42f2-91ca-744414e755f1",NULL,"de","scrape_success","done",NULL,232464,NULL,"{}","2026-03-20 23:24:58.70875+00"
"56e13468-6cc0-427a-9ef3-a17dda3dbda1","a1da6af5-6d39-481c-98ab-b162305f9118",NULL,"de","scrape_success","done",NULL,148036,NULL,"{}","2026-03-20 23:26:17.244507+00"
"4fe71ff4-f499-47f6-82f1-1e1c5b6ab2d2","2741d8d5-15c8-42f2-91ca-744414e755f1",NULL,"fr","scrape_success","done",NULL,155731,NULL,"{}","2026-03-20 23:27:35.033674+00"
"e1731348-5b4f-4cb1-8b6c-8483083d8786","a1da6af5-6d39-481c-98ab-b162305f9118",NULL,"fr","scrape_success","done",NULL,169331,NULL,"{}","2026-03-20 23:29:07.149052+00"
"f4d24cae-c89c-4ef3-95d0-0c226f046a42","2741d8d5-15c8-42f2-91ca-744414e755f1",NULL,"it","scrape_success","done",NULL,170757,NULL,"{}","2026-03-20 23:30:26.582322+00"
