id,url_id,language,status,attempts,last_error,created_at,updated_at
db42d918-3334-48dc-9d40-3a32d6025319,8a89a0d9-e88d-420a-9e43-1235ede4e3ce,es,done,1,,2026-04-06 20:52:41.290884+01,2026-04-06 20:52:41.290884+01
c6fb0154-3f3e-4a3f-9bf1-46d0a6e1dc90,f346756c-45aa-44b3-8844-468b17fa357b,de,done,1,,2026-04-06 20:52:56.71036+01,2026-04-06 20:52:56.71036+01
133ba58a-ef90-4f67-9a4b-5345b47a4bcc,8a89a0d9-e88d-420a-9e43-1235ede4e3ce,de,done,1,,2026-04-06 20:53:41.986089+01,2026-04-06 20:53:41.986089+01
d3aa4f53-38cb-46b8-8c21-c1ff3069b63c,f346756c-45aa-44b3-8844-468b17fa357b,it,done,1,,2026-04-06 20:55:54.087878+01,2026-04-06 20:55:54.087878+01
ec1f33dc-1201-4a4c-843c-1f58be80a878,8a89a0d9-e88d-420a-9e43-1235ede4e3ce,it,done,1,,2026-04-06 20:56:18.116029+01,2026-04-06 20:56:18.116029+01
01fff542-8fb3-4713-ae36-fe803b6246be,f346756c-45aa-44b3-8844-468b17fa357b,fr,done,1,,2026-04-06 20:57:02.200736+01,2026-04-06 20:57:02.200736+01
1162a1a5-90eb-4887-8561-1b0f76a08baf,8a89a0d9-e88d-420a-9e43-1235ede4e3ce,fr,done,1,,2026-04-06 20:57:07.94354+01,2026-04-06 20:57:07.94354+01
4c8d5395-f9f9-4de8-b0cc-fe47dd1383c9,f346756c-45aa-44b3-8844-468b17fa357b,pt,done,1,,2026-04-06 20:57:32.465918+01,2026-04-06 20:57:32.465918+01
c7b3f121-db8d-4f6f-859e-35c684d8c9a6,8a89a0d9-e88d-420a-9e43-1235ede4e3ce,pt,done,1,,2026-04-06 20:58:09.452425+01,2026-04-06 20:58:09.452425+01
5b98b426-ce2e-4307-ab25-3c6eef045e6b,7c9c8e1b-beeb-4f69-a249-b4643aa943e3,en,done,1,,2026-04-06 20:59:06.499134+01,2026-04-06 20:59:06.499134+01
fb260b68-5d30-4dcc-a0b6-97ec95277010,daf2a1a7-cd80-4f4e-9e0a-84a38ddd0969,en,done,1,,2026-04-06 20:59:34.561084+01,2026-04-06 20:59:34.561084+01
912cdf10-384f-40f9-9e34-4c88fd431c58,7c9c8e1b-beeb-4f69-a249-b4643aa943e3,es,done,1,,2026-04-06 20:59:55.013067+01,2026-04-06 20:59:55.013067+01
cda140e5-708a-48cf-b290-8573ef1dddbe,daf2a1a7-cd80-4f4e-9e0a-84a38ddd0969,es,done,1,,2026-04-06 21:00:28.500108+01,2026-04-06 21:00:28.500108+01
5405ee79-7767-4061-92b0-540879683a7e,7c9c8e1b-beeb-4f69-a249-b4643aa943e3,de,done,1,,2026-04-06 21:00:39.026333+01,2026-04-06 21:00:39.026333+01
5752b0dd-a8db-48cc-ac39-745c574f54ef,daf2a1a7-cd80-4f4e-9e0a-84a38ddd0969,de,done,1,,2026-04-06 21:00:59.212688+01,2026-04-06 21:00:59.212688+01
10709512-3778-42f7-a41f-35cfb1fc79b5,7c9c8e1b-beeb-4f69-a249-b4643aa943e3,it,done,1,,2026-04-06 21:01:31.607794+01,2026-04-06 21:01:31.607794+01
51d773ed-606b-4538-a657-4a39739d140e,daf2a1a7-cd80-4f4e-9e0a-84a38ddd0969,it,done,1,,2026-04-06 21:01:54.443669+01,2026-04-06 21:01:54.443669+01
bebc70f4-3054-4226-b837-0ba2524431b4,7c9c8e1b-beeb-4f69-a249-b4643aa943e3,fr,done,1,,2026-04-06 21:02:11.14762+01,2026-04-06 21:02:11.14762+01
