# SQL =
["SELECT al.url_id , al.hotel_id , h.hotel_name , al.language, al.service_category , service 
FROM hotels_all_services al
LEFT JOIN hotels h ON al.url_id = h.url_id and al.language = h.language and al.hotel_id = h.id 
WHERE hotel_name in('wild & bolz eMotel','vidimo se','Hotel Aquamarin')
AND al.language in ('es','en')
ORDER BY al.url_id , al.language , al.service_category"]
 
## RESULT =
[
url_id,hotel_id,hotel_name,language,service_category,service
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,,Wine/champagne Additional charge
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,,Upper floors accessible by elevator
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,,Terrace
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,,Table tennis
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,,Smoke alarms
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,,Sauna
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,,Private check-in/check-out
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,,Picnic area
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,,Pets allowed
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,,Parking
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,,Meeting/banquet facilities Additional charge
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,,Lift
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,,Kid-friendly buffet
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,,Key access
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,,Invoice provided
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,,Indoor play area
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,,Hungarian
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,,Heating
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,,Hardwood or parquet floors
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,,German
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,,Garden
41a492c0-9d76-4d76-852c-d9a20b20804a,77e60e82-077b-4202-9458-99c2217578d6,Hotel Aquamarin,en,,Fruits Additional charge
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,Alimentos y bebidas,Buen desayuno
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,Comodidades,Armario
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,Comodidades,Bañera o ducha
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,Comodidades,Baño privado
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,Comodidades,Enchufe cerca de la cama
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,Comodidades,Escritorio
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,Comodidades,Papel higiénico
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,Comodidades,Ropa de cama
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,Comodidades,Secador de pelo
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,Comodidades,Sofá
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,Comodidades,Sofá cama
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,Comodidades,Toallas
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,Comodidades,TV de pantalla plana
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,Comodidades,Zona de estar
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,Exteriores y vistas,Vistas
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,Exteriores y vistas,Vistas a la montaña
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,General,Entrada privada
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,General,Prohibido fumar en todo el alojamiento
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,Servicios,Inglés
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,Ascensor
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,Alemán
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,Admite mascotas
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,Acceso a pisos superiores en ascensor
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,Bar
