"id","hotel_id","url_id","language","highlights","created_at","updated_at"
"81de1e49-6a47-4841-b5e1-5f71c071f833","13e5ea25-f5ed-4845-b9a5-849b5ea5f405","9af0e380-78e5-4aea-8580-94361d2f781f","es","<div><span><span><span><span><button><span><span></span></span><span>Guardar el alojamiento</span></button></span></span></span></span></div>","2026-03-21 01:00:36.379762+00","2026-03-21 01:00:36.379767+00"
"b1d43637-45ae-48f5-b699-a0f0cad30458","55af2629-e1fc-4bdb-a03f-96594893b457","4356f819-e6aa-42f8-b349-bd9ceb370bee","it","<div><div><ul><li><div><div><span></span></div></div><div><div>Colazione</div></div></li><li><div><div><span></span></div></div><div><div>8 ristoranti</div></div></li><li><div><div><span></span></div></div><div><div>Spa &amp; centro benessere</div></div></li><li><div><div><span></span></div></div><div><div>Connessione WiFi gratuita</div></div></li><li><div><div><span></span></div></div><div><div>Navetta aeroportuale</div></div></li><li><div><div><span></span></div></div><div><div>Barbecue</div></div></li><li><div><div><span></span></div></div><div><div>Camere/strutture per ospiti disabili</div></div></li><li><div><div><span></span></div></div><div><div>Palestra</div></div></li><li><div><div><span></span></div></div><div><div>Camere non fumatori</div></div></li><li><div><div><span></span></div></div><div><div>Disponibilità di camere familiari</div></div></li></ul></div></div>","2026-03-20 22:45:49.105686+00","2026-03-20 22:45:49.105688+00"
"88851c7a-4fb0-4582-8281-ae5017ac4247","dc7fa076-dfd5-47d7-b713-ca2642aad7e6","493d91e2-866e-4566-abed-318b8ce16a41","it","<div><div><ul><li><div><div><span></span></div></div><div><div>Colazione</div></div></li><li><div><div><span></span></div></div><div><div>Piscina privata a uso esclusivo</div></div></li><li><div><div><span></span></div></div><div><div>Vista mare</div></div></li><li><div><div><span></span></div></div><div><div>Aria condizionata</div></div></li><li><div><div><span></span></div></div><div><div>Terrazza</div></div></li><li><div><div><span></span></div></div><div><div>Bagno privato</div></div></li><li><div><div><span></span></div></div><div><div>Vista</div></div></li><li><div><div><span></span></div></div><div><div>Angolo cottura</div></div></li><li><div><div><span></span></div></div><div><div>Vasca da bagno con idromassaggio</div></div></li><li><div><div><span></span></div></div><div><div>Vasca</div></div></li></ul></div></div>","2026-03-20 22:47:08.089608+00","2026-03-20 22:47:08.089611+00"
"06c6915f-37f6-4c28-ac9e-a991d0e48318","f83cee6a-28bd-4294-825b-e23d3625facd","4356f819-e6aa-42f8-b349-bd9ceb370bee","nl","<div><div><ul><li><div><div><span></span></div></div><div><div>Ontbijt</div></div></li><li><div><div><span></span></div></div><div><div>8 restaurants</div></div></li><li><div><div><span></span></div></div><div><div>2 zwembaden</div></div></li><li><div><div><span></span></div></div><div><div>Wellnesscentrum</div></div></li><li><div><div><span></span></div></div><div><div>Gratis WiFi</div></div></li><li><div><div><span></span></div></div><div><div>Balkon</div></div></li><li><div><div><span></span></div></div><div><div>Luchthavenshuttle</div></div></li><li><div><div><span></span></div></div><div><div>Eigen badkamer</div></div></li><li><div><div><span></span></div></div><div><div>Uitzicht</div></div></li><li><div><div><span></span></div></div><div><div>Uitzicht op zee</div></div></li></ul></div></div>","2026-03-20 22:48:26.449007+00","2026-03-20 22:48:26.449011+00"
"97367747-27c5-4385-8555-b352a18db82b","0c7ebda2-e258-477e-85a8-edc91bc0eef4","493d91e2-866e-4566-abed-318b8ce16a41","nl","<div><div><ul><li><div><div><span></span></div></div><div><div>Ontbijt</div></div></li><li><div><div><span></span></div></div><div><div>Eigen badkamer</div></div></li><li><div><div><span></span></div></div><div><div>Uitzicht</div></div></li><li><div><div><span></span></div></div><div><div>Uitzicht op zee</div></div></li><li><div><div><span></span></div></div><div><div>Airconditioning</div></div></li><li><div><div><span></span></div></div><div><div>Kitchenette</div></div></li><li><div><div><span></span></div></div><div><div>Privézwembad</div></div></li><li><div><div><span></span></div></div><div><div>Terras</div></div></li><li><div><div><span></span></div></div><div><div>Bubbelbad</div></div></li><li><div><div><span></span></div></div><div><div>Bad</div></div></li></ul></div></div>","2026-03-20 22:50:11.32867+00","2026-03-20 22:50:11.328672+00"
"800415cf-df08-45fc-8896-1adf1a547c68","3f076ffa-5ee4-4194-aeee-f206bddea2a2","493d91e2-866e-4566-abed-318b8ce16a41","pt","<div><div><ul><li><div><div><span></span></div></div><div><div>Pequeno-almoço</div></div></li><li><div><div><span></span></div></div><div><div>Casa de banho privativa</div></div></li><li><div><div><span></span></div></div><div><div>Vista</div></div></li><li><div><div><span></span></div></div><div><div>Vista mar</div></div></li><li><div><div><span></span></div></div><div><div>Piscina privada</div></div></li><li><div><div><span></span></div></div><div><div>Ar condicionado</div></div></li><li><div><div><span></span></div></div><div><div>Terraço</div></div></li><li><div><div><span></span></div></div><div><div>Kitchenette</div></div></li><li><div><div><span></span></div></div><div><div>Banheira de hidromassagem</div></div></li><li><div><div><span></span></div></div><div><div>Banheira</div></div></li></ul></div></div>","2026-03-20 22:52:47.060298+00","2026-03-20 22:52:47.060301+00"
"54adf984-f52b-46a5-b334-c22666695a82","0dcc4c17-13e1-446f-9e42-95a909a5883d","7e509834-ef44-484e-8286-616d61ae6bf6","fr","<div><span><span><span><span><button><span><span></span></span><span>Enregistrer l'établissement</span></button></span></span></span></span></div>","2026-03-20 23:07:01.582434+00","2026-03-20 23:07:01.582437+00"
"5de146d9-124e-4ed6-935c-9d85701c1699","5cd0b963-5522-4ab5-9ae2-fbe647022c20","0fa5c633-632b-4609-94e6-4240aed48871","it","<div><div><ul><li><div><div><span></span></div></div><div><div>Colazione</div></div></li><li><div><div><span></span></div></div><div><div>Parcheggio gratuito sul posto</div></div></li><li><div><div><span></span></div></div><div><div>4 ristoranti</div></div></li><li><div><div><span></span></div></div><div><div>Spa &amp; centro benessere</div></div></li><li><div><div><span></span></div></div><div><div>Connessione WiFi gratuita</div></div></li><li><div><div><span></span></div></div><div><div>Navetta aeroportuale (gratuita)</div></div></li><li><div><div><span></span></div></div><div><div>Camere/strutture per ospiti disabili</div></div></li><li><div><div><span></span></div></div><div><div>Palestra</div></div></li><li><div><div><span></span></div></div><div><div>Camere non fumatori</div></div></li><li><div><div><span></span></div></div><div><div>Disponibilità di camere familiari</div></div></li></ul></div></div>","2026-03-20 23:08:19.862871+00","2026-03-20 23:08:19.862874+00"
"2ebbc153-93e1-4f43-bf58-6e224f20f7bb","6e375b00-8d49-471d-9b86-20141b8394de","7e509834-ef44-484e-8286-616d61ae6bf6","it","<div><span><span><span><span><button><span><span></span></span><span>Salva la struttura</span></button></span></span></span></span></div>","2026-03-20 23:09:39.521769+00","2026-03-20 23:09:39.521771+00"
"ed8e8599-7697-44ed-98df-b24e5569c3f6","8df7af18-d3bb-490c-a052-c3fd7ea1f5e7","0fa5c633-632b-4609-94e6-4240aed48871","nl","<div><div><ul><li><div><div><span></span></div></div><div><div>Gratis parkeren bij accommodatie</div></div></li><li><div><div><span></span></div></div><div><div>Ontbijt</div></div></li><li><div><div><span></span></div></div><div><div>4 restaurants</div></div></li><li><div><div><span></span></div></div><div><div>Buitenzwembad</div></div></li><li><div><div><span></span></div></div><div><div>Wellnesscentrum</div></div></li><li><div><div><span></span></div></div><div><div>Gratis WiFi</div></div></li><li><div><div><span></span></div></div><div><div>Balkon</div></div></li><li><div><div><span></span></div></div><div><div>Luchthavenshuttle (gratis)</div></div></li><li><div><div><span></span></div></div><div><div>Eigen badkamer</div></div></li><li><div><div><span></span></div></div><div><div>Uitzicht op zee</div></div></li></ul></div></div>","2026-03-20 23:10:58.053901+00","2026-03-20 23:10:58.053904+00"
