"id","hotel_id","url_id","language","fp","created_at","updated_at"
"a18b4d98-fcc2-4def-a707-ba9c77c931ab","63ce8fdd-a82d-44de-8362-79482ad5573a","0fa5c633-632b-4609-94e6-4240aed48871","de","<a><span><div><span>Wichtige &amp; rechtliche Hinweise</span></div></span></a>","2026-03-20 23:02:51.0742+00","2026-03-20 23:02:51.074203+00"
"93dce55a-d298-447f-a809-316e8934c57e","cff8aaf7-e8a8-47e4-918b-9636442282ae","7e509834-ef44-484e-8286-616d61ae6bf6","de","<a><span><div><span>Wichtige &amp; rechtliche Hinweise</span></div></span></a>","2026-03-20 23:04:09.296116+00","2026-03-20 23:04:09.296119+00"
"26ca37f6-4606-47db-a611-535a147bb6e3","6eaa0dc9-9bf5-4294-ad3f-537525c633dd","0fa5c633-632b-4609-94e6-4240aed48871","fr","<a><span><div><span>Mentions légales et infos importantes</span></div></span></a>","2026-03-20 23:05:27.460773+00","2026-03-20 23:05:27.460776+00"
"876c1f8a-f62f-472e-a156-4e7c9fa1726e","0dcc4c17-13e1-446f-9e42-95a909a5883d","7e509834-ef44-484e-8286-616d61ae6bf6","fr","<a><span><div><span>Mentions légales et infos importantes</span></div></span></a>","2026-03-20 23:07:01.54573+00","2026-03-20 23:07:01.545734+00"
"a1b40711-4c09-47c8-9773-33748bbf2976","5cd0b963-5522-4ab5-9ae2-fbe647022c20","0fa5c633-632b-4609-94e6-4240aed48871","it","<a><span><div><span>Informazioni importanti e legali</span></div></span></a>","2026-03-20 23:08:19.851376+00","2026-03-20 23:08:19.851379+00"
"b65d1f7c-beeb-45f3-9362-e74eecf9f09b","6e375b00-8d49-471d-9b86-20141b8394de","7e509834-ef44-484e-8286-616d61ae6bf6","it","<a><span><div><span>Informazioni importanti e legali</span></div></span></a>","2026-03-20 23:09:39.502063+00","2026-03-20 23:09:39.502066+00"
"7448f2ea-1c76-4793-b476-7fe5c7571871","8df7af18-d3bb-490c-a052-c3fd7ea1f5e7","0fa5c633-632b-4609-94e6-4240aed48871","nl","<a><span><div><span>Belangrijke en juridische gegevens</span></div></span></a>","2026-03-20 23:10:58.040857+00","2026-03-20 23:10:58.04086+00"
"b01a6069-38ff-4cd7-af2d-96ef04b9f4aa","5413018a-c587-48ee-8618-3675eeba8099","7e509834-ef44-484e-8286-616d61ae6bf6","nl","<a><span><div><span>Belangrijke en juridische gegevens</span></div></span></a>","2026-03-20 23:12:32.412003+00","2026-03-20 23:12:32.412005+00"
"8355ce60-3f08-4d84-9453-7c94d21c39d4","f112d536-c589-46a9-befa-73997fd9f6ed","0fa5c633-632b-4609-94e6-4240aed48871","pt","<a><span><div><span>Informações importantes e legais</span></div></span></a>","2026-03-20 23:13:51.215177+00","2026-03-20 23:13:51.21518+00"
"b852884b-1466-4a85-85d6-4149b4335604","48fa9c12-347f-4592-a52a-58aa05a07326","7e509834-ef44-484e-8286-616d61ae6bf6","pt","<a><span><div><span>Informações importantes e legais</span></div></span></a>","2026-03-20 23:15:10.010666+00","2026-03-20 23:15:10.010669+00"
"8db9441b-ecbc-4b23-9864-9d0d0f30b5b8","fbdc09da-3d08-44d3-9a34-86a3c52c3409","2741d8d5-15c8-42f2-91ca-744414e755f1","es","<a><span><div><span>Información legal e importante</span></div></span></a>","2026-03-20 23:16:27.305478+00","2026-03-20 23:16:27.305482+00"
"a3e725a8-3c78-4532-8a67-7dbaf021bc94","742f629d-a0d9-44e9-9ec2-840919a883e6","a1da6af5-6d39-481c-98ab-b162305f9118","es","<a><span><div><span>Información legal e importante</span></div></span></a>","2026-03-20 23:17:57.487043+00","2026-03-20 23:17:57.487046+00"
"8b7c4acf-1fb1-4f47-84ca-74e9886e9829","66e5f2d5-3972-495d-94cc-902aae087365","2741d8d5-15c8-42f2-91ca-744414e755f1","en","<a><span><div><span>Important &amp; legal info</span></div></span></a>","2026-03-20 23:20:52.768728+00","2026-03-20 23:20:52.76873+00"
"174157b0-f889-40bd-a6ee-3c9d4c12afa1","8df16feb-4308-40d9-8e2c-d1ce84a899a7","a1da6af5-6d39-481c-98ab-b162305f9118","en","<a><span><div><span>Important &amp; legal info</span></div></span></a>","2026-03-20 23:23:40.602927+00","2026-03-20 23:23:40.602931+00"
"62d8e549-78fb-41d4-bb5a-c0b8ff2d538b","97ec43f2-2edb-482b-82da-af2d71cf3253","2741d8d5-15c8-42f2-91ca-744414e755f1","de","<a><span><div><span>Wichtige &amp; rechtliche Hinweise</span></div></span></a>","2026-03-20 23:24:58.692085+00","2026-03-20 23:24:58.692088+00"
"3231e959-adff-4c29-a8d8-3fd5c5e96ffc","c8e93e77-5096-4833-ba68-11ae595c0e5a","a1da6af5-6d39-481c-98ab-b162305f9118","de","<a><span><div><span>Wichtige &amp; rechtliche Hinweise</span></div></span></a>","2026-03-20 23:26:17.228464+00","2026-03-20 23:26:17.228466+00"
"23225ac2-0240-4c35-9281-8dae53720f86","162419c6-072a-425e-b0f2-8f46d921975c","2741d8d5-15c8-42f2-91ca-744414e755f1","fr","<a><span><div><span>Mentions légales et infos importantes</span></div></span></a>","2026-03-20 23:27:35.003003+00","2026-03-20 23:27:35.003006+00"
"cb40d2a5-f200-44b1-9991-6810bb21152c","6b2e273a-26c4-4259-a380-41a1c0cfb77a","a1da6af5-6d39-481c-98ab-b162305f9118","fr","<a><span><div><span>Mentions légales et infos importantes</span></div></span></a>","2026-03-20 23:29:07.122593+00","2026-03-20 23:29:07.122596+00"
"5070bb3b-345e-4330-a2a7-98f68a2c33a1","dcc38fe7-5d6d-4d7c-8f70-7ee609169902","2741d8d5-15c8-42f2-91ca-744414e755f1","it","<a><span><div><span>Informazioni importanti e legali</span></div></span></a>","2026-03-20 23:30:26.549277+00","2026-03-20 23:30:26.549282+00"
"ef956322-2d8a-4267-af00-3c97c6b00bb3","5876c867-fc58-4e96-94ff-151fa2f2d22b","a1da6af5-6d39-481c-98ab-b162305f9118","it","<a><span><div><span>Informazioni importanti e legali</span></div></span></a>","2026-03-20 23:31:44.808855+00","2026-03-20 23:31:44.808858+00"
"264a5bdc-62bd-43ba-82cd-180d4235743f","3e161e05-3ff3-4fb6-ab7b-0ffc2c4fbcd1","2741d8d5-15c8-42f2-91ca-744414e755f1","nl","<a><span><div><span>Belangrijke en juridische gegevens</span></div></span></a>","2026-03-20 23:33:05.067542+00","2026-03-20 23:33:05.067545+00"
"a8e3e1ec-02c5-4e8a-b051-aa0723d73e85","41a394d8-6680-4766-b45e-b661a874d9e1","a1da6af5-6d39-481c-98ab-b162305f9118","nl","<a><span><div><span>Belangrijke en juridische gegevens</span></div></span></a>","2026-03-20 23:34:39.721146+00","2026-03-20 23:34:39.721149+00"
"57f112c8-929c-4174-8c75-b6178f7926aa","623d4fcc-f36d-4b67-b179-b14a6f831d2e","2741d8d5-15c8-42f2-91ca-744414e755f1","pt","<a><span><div><span>Informações importantes e legais</span></div></span></a>","2026-03-20 23:35:57.223998+00","2026-03-20 23:35:57.224002+00"
"b30e9dee-5fea-4d69-9fbb-865471a01e5c","cde88914-02f6-4849-aa22-79d38a8a9af6","a1da6af5-6d39-481c-98ab-b162305f9118","pt","<a><span><div><span>Informações importantes e legais</span></div></span></a>","2026-03-20 23:37:13.939577+00","2026-03-20 23:37:13.93958+00"
"bbb3d3e9-97ce-4ad6-a0b3-77a6f84cfca9","fddafa40-1820-405a-a157-ea10db35266d","3be684d6-55a7-49a5-a0e8-8117cfe37bb4","es","<a><span><div><span>Información legal e importante</span></div></span></a>","2026-03-20 23:38:32.256844+00","2026-03-20 23:38:32.256847+00"
"384c7c74-a827-4ecf-9ded-c73be3055955","f82ca224-a0d9-4dfb-9998-5ef873642c0f","71df8c3a-151d-473b-8424-f5891aa1bbf0","es","<a><span><div><span>Información legal e importante</span></div></span></a>","2026-03-20 23:40:04.96222+00","2026-03-20 23:40:04.962222+00"
"5fae08a5-47b6-4093-9c10-3814d6c64f0d","83f67976-bb0d-4a7e-8e02-19b3001c4c27","3be684d6-55a7-49a5-a0e8-8117cfe37bb4","en","<a><span><div><span>Important &amp; legal info</span></div></span></a>","2026-03-20 23:42:58.015691+00","2026-03-20 23:42:58.015693+00"
"6d29e383-5304-4e74-a8ab-2d32bfedeb2f","b0d21023-9e36-4a96-83e3-615253f99ef3","3be684d6-55a7-49a5-a0e8-8117cfe37bb4","de","<a><span><div><span>Wichtige &amp; rechtliche Hinweise</span></div></span></a>","2026-03-20 23:49:13.240802+00","2026-03-20 23:49:13.240805+00"
"2be3dc64-ad74-4401-8832-b31210ef8eec","107ab265-8a1b-41c7-b6a2-983281a7e0ae","3be684d6-55a7-49a5-a0e8-8117cfe37bb4","fr","<a><span><div><span>Mentions légales et infos importantes</span></div></span></a>","2026-03-20 23:55:20.448108+00","2026-03-20 23:55:20.448111+00"
"2e8021c2-e1e5-4d54-af52-f2f78c77a682","0dd736d7-d2f7-4869-8123-cab43d877dee","3be684d6-55a7-49a5-a0e8-8117cfe37bb4","it","<a><span><div><span>Informazioni importanti e legali</span></div></span></a>","2026-03-21 00:01:36.176011+00","2026-03-21 00:01:36.176014+00"
"4f0cc638-efc5-40c2-afd3-22cc89b0315d","52f5b261-9cf3-4c2c-b214-78b4d106a82b","3be684d6-55a7-49a5-a0e8-8117cfe37bb4","nl","<a><span><div><span>Belangrijke en juridische gegevens</span></div></span></a>","2026-03-21 00:07:52.517498+00","2026-03-21 00:07:52.517501+00"
"53bb1974-dc95-44b4-b2fa-3ece034a3a17","65ca5d59-6505-464b-b3e8-7e3743addc00","3be684d6-55a7-49a5-a0e8-8117cfe37bb4","pt","<a><span><div><span>Informações importantes e legais</span></div></span></a>","2026-03-21 00:14:14.985911+00","2026-03-21 00:14:14.985914+00"
"2b28ccad-4361-40b8-9283-fdaa3a36befb","dab8de31-bc45-43ab-b949-621f3ccffeeb","76fcd801-16e2-495e-8db9-36d8493ce456","es","<a><span><div><span>Información legal e importante</span></div></span></a>","2026-03-21 00:20:29.715852+00","2026-03-21 00:20:29.715855+00"
"87d832fd-e21a-4bbb-b19f-4713341cadc7","5303434a-7549-42b9-b16f-cfae8261d40c","76fcd801-16e2-495e-8db9-36d8493ce456","en","<a><span><div><span>Important &amp; legal info</span></div></span></a>","2026-03-21 00:28:23.566908+00","2026-03-21 00:28:23.566911+00"
"fc82f2d5-cfd8-4ae2-8c33-3e570da56f94","34d87de5-f30c-45ba-bc4e-7f8b411dd422","76fcd801-16e2-495e-8db9-36d8493ce456","de","<a><span><div><span>Wichtige &amp; rechtliche Hinweise</span></div></span></a>","2026-03-21 00:34:37.342659+00","2026-03-21 00:34:37.342663+00"
"82f077f2-e9f9-4efa-a5b5-daf4210b54f7","12432847-897e-4832-b346-dd1a815f4d73","76fcd801-16e2-495e-8db9-36d8493ce456","fr","<a><span><div><span>Mentions légales et infos importantes</span></div></span></a>","2026-03-21 00:40:51.418587+00","2026-03-21 00:40:51.418592+00"
"8ef43386-d8c5-4c4c-8cda-030e2c3bde59","537c0c75-391a-4b1a-ba8e-73bd9a679121","76fcd801-16e2-495e-8db9-36d8493ce456","it","<a><span><div><span>Informazioni importanti e legali</span></div></span></a>","2026-03-21 00:46:55.120616+00","2026-03-21 00:46:55.120619+00"
"1a134250-5f17-4303-974a-dcfc265c55b1","59bf5066-fd49-473e-80ab-2a8c0a82f1f2","76fcd801-16e2-495e-8db9-36d8493ce456","nl","<a><span><div><span>Belangrijke en juridische gegevens</span></div></span></a>","2026-03-21 00:53:18.818303+00","2026-03-21 00:53:18.818306+00"
"2c09fff8-48fa-4607-a683-abcd1a88db45","c9515475-dcf1-49b0-b983-92955b0b1b2e","76fcd801-16e2-495e-8db9-36d8493ce456","pt","<a><span><div><span>Informações importantes e legais</span></div></span></a>","2026-03-21 00:59:18.590509+00","2026-03-21 00:59:18.590511+00"
"5155021d-2b6a-4dc0-a8e5-0adfac495abd","13e5ea25-f5ed-4845-b9a5-849b5ea5f405","9af0e380-78e5-4aea-8580-94361d2f781f","es","<a><span><div><span>Información legal e importante</span></div></span></a>","2026-03-21 01:00:36.348684+00","2026-03-21 01:00:36.348687+00"
"a8fb86c4-2ca4-4628-b1c2-496d1030dfc2","118a8296-801f-468b-b3c4-4690637e102f","67f1ef51-6f79-477a-b9a9-34daad69259f","es","<a><span><div><span>Información legal e importante</span></div></span></a>","2026-03-21 01:02:12.980445+00","2026-03-21 01:02:12.980448+00"
"1e96ea8e-3b3e-4a8f-9743-19e04e7f0543","8ceed9c4-5f7c-4e9a-b4b6-71eb0a78e302","9af0e380-78e5-4aea-8580-94361d2f781f","en","<a><span><div><span>Important &amp; legal info</span></div></span></a>","2026-03-21 01:05:06.918655+00","2026-03-21 01:05:06.918657+00"
"a0837b1c-cf96-4af4-8e4a-cdeda68a5321","bb6d8bb6-ed90-4b3d-9e47-ca6200356f54","67f1ef51-6f79-477a-b9a9-34daad69259f","en","<a><span><div><span>Important &amp; legal info</span></div></span></a>","2026-03-21 01:07:59.319873+00","2026-03-21 01:07:59.319876+00"
"1a06831a-28c1-4c40-b922-a1c71d6e13b5","40dbbb85-c064-472e-a153-e1818ec0e841","9af0e380-78e5-4aea-8580-94361d2f781f","de","<a><span><div><span>Wichtige &amp; rechtliche Hinweise</span></div></span></a>","2026-03-21 01:09:18.371183+00","2026-03-21 01:09:18.371185+00"
"2f48829a-2fe5-4fc6-9387-aaf3099dbc34","22174aae-06f4-4ca7-a2ad-7f67909226ed","67f1ef51-6f79-477a-b9a9-34daad69259f","de","<a><span><div><span>Wichtige &amp; rechtliche Hinweise</span></div></span></a>","2026-03-21 01:10:52.6309+00","2026-03-21 01:10:52.630902+00"
